level_index	freq_index	freq_hz	level_dbfs	thd_pct	margin_db	masked	clear	corroborated
4	7	132.5731725017491	-27.428571428571427	0.06017923649031863	27.318585935199565	0	1	1
4	8	173.7009409614052	-27.428571428571427	0.06058758174182067	27.651383205482247	0	1	1
4	9	227.5876508158505	-27.428571428571427	0.060411811207266006	26.7547516083431	0	1	1
4	10	298.1914692988688	-27.428571428571427	0.05979189234020802	23.807950440672244	0	1	1
4	11	390.6984937182078	-27.428571428571427	0.05930238912045729	23.46131685986073	0	1	1
4	12	511.903688434106	-27.428571428571427	0.06005671070224917	21.873885779719885	0	1	1
4	13	670.7099987476357	-27.428571428571427	0.06122067559496884	20.210104291762335	0	1	1
4	14	878.7823033589261	-27.428571428571427	0.06177888724008887	21.45975441275391	0	1	1
4	15	1151.4042404896254	-27.428571428571427	0.06008528965519238	18.48545751448161	0	1	1
4	16	1508.6008445438788	-27.428571428571427	0.05994426553441695	15.963733851238032	0	1	1
4	17	1976.609454895447	-27.428571428571427	0.061498175489126214	16.48807540743914	0	1	1
4	18	2589.806940193875	-27.428571428571427	0.059138437057237	16.645563946706034	0	1	1
4	19	3393.234799552818	-27.428571428571427	0.0590940215455881	17.481712784105795	0	1	1
4	20	4445.907618130911	-27.428571428571427	0.0602605285375478	16.081381919345077	0	1	1
4	21	5825.14789473436	-27.428571428571427	0.05570167031577341	18.821087636996992	0	1	1
4	22	7632.2656496838235	-27.428571428571427	0.002305917758815232	-7.1652645491687394	0	0	0
4	23	10000.0	-27.428571428571427	0.015579629588485818	-1.5384935904623234	1	0	0
5	0	20.0	-22.285714285714285	4.118534693967379	-6.070500400147509	1	0	0
5	1	26.20453862324424	-22.285714285714285	0.19609405930760002	-7.828634075086093	0	0	0
5	2	34.33389222285494	-22.285714285714285	0.1957162010563538	20.68338312780611	0	1	1
5	3	44.985190242005366	-22.285714285714285	0.1957946543866824	38.703756102410594	0	1	1
5	4	58.940807758530966	-22.285714285714285	0.19572018466417043	42.42779870278975	0	1	1
5	5	77.22583366968192	-22.285714285714285	0.19576204016520665	40.78704193791098	0	1	1
5	6	101.18336705547074	-22.285714285714285	0.19575897106009255	38.419693074448844	0	1	1
5	7	132.5731725017491	-22.285714285714285	0.19567213344680318	37.56023207098912	0	1	1
5	8	173.7009409614052	-22.285714285714285	0.19561104798442094	37.83157842854587	0	1	1
5	9	227.5876508158505	-22.285714285714285	0.1960463930607804	36.9794916058397	0	1	1
5	10	298.1914692988688	-22.285714285714285	0.1955253732256477	34.099166941288736	0	1	1
5	11	390.6984937182078	-22.285714285714285	0.1959151812677409	33.841234863052456	0	1	1
5	12	511.903688434106	-22.285714285714285	0.19558869410254698	32.129529874853375	0	1	1
5	13	670.7099987476357	-22.285714285714285	0.1961341436780432	30.323206006968732	0	1	1
5	14	878.7823033589261	-22.285714285714285	0.19644336428519174	31.50770004692297	0	1	1
5	15	1151.4042404896254	-22.285714285714285	0.1959443934976801	28.75275116474902	0	1	1
5	16	1508.6008445438788	-22.285714285714285	0.19548987938920406	26.23126655690651	0	1	1
5	17	1976.609454895447	-22.285714285714285	0.19699486528078333	26.59992890503176	0	1	1
5	18	2589.806940193875	-22.285714285714285	0.19572813617875193	27.04123230633401	0	1	1
5	19	3393.234799552818	-22.285714285714285	0.19641380708501918	27.914282133485976	0	1	1
5	20	4445.907618130911	-22.285714285714285	0.1946456700972368	26.265618134593083	0	1	1
5	21	5825.14789473436	-22.285714285714285	0.1954838191227869	29.725939570462394	0	1	1
5	22	7632.2656496838235	-22.285714285714285	0.001811317298939769	-9.262250132096696	0	0	0
5	23	10000.0	-22.285714285714285	0.014437167340581692	2.9295715904499815	1	0	0
6	0	20.0	-17.142857142857142	4.178160106646702	-5.945653413962727	1	0	0
6	1	26.20453862324424	-17.142857142857142	0.6246860998525222	2.2353140353780887	0	0	0
6	2	34.33389222285494	-17.142857142857142	0.631501598322107	30.858336663346243	0	1	1
6	3	44.985190242005366	-17.142857142857142	0.6314208628337816	48.87411804034681	0	1	1
6	4	58.940807758530966	-17.142857142857142	0.631399877279455	52.60117622870614	0	1	1
6	5	77.22583366968192	-17.142857142857142	0.631581977636132	50.96106686521887	0	1	1
6	6	101.18336705547074	-17.142857142857142	0.6313793334094726	48.59106684721006	0	1	1
6	7	132.5731725017491	-17.142857142857142	0.6313480093034342	47.73502877530106	0	1	1
6	8	173.7009409614052	-17.142857142857142	0.6314118516056659	48.00996541915214	0	1	1
6	9	227.5876508158505	-17.142857142857142	0.6314669490562447	47.139326968844706	0	1	1
6	10	298.1914692988688	-17.142857142857142	0.6313714918529875	44.28080383848473	0	1	1
6	11	390.6984937182078	-17.142857142857142	0.6312057802680767	44.00329240178423	0	1	1
6	12	511.903688434106	-17.142857142857142	0.6312906097966124	42.30724152267204	0	1	1
6	13	670.7099987476357	-17.142857142857142	0.6317289124725057	40.482757009651294	0	1	1
6	14	878.7823033589261	-17.142857142857142	0.6312616383571094	41.64714074489999	0	1	1
6	15	1151.4042404896254	-17.142857142857142	0.6313699889152767	38.91577302398646	0	1	1
6	16	1508.6008445438788	-17.142857142857142	0.6316094566500712	36.41775345906388	0	1	1
6	17	1976.609454895447	-17.142857142857142	0.6313594560397723	36.71636456662669	0	1	1
6	18	2589.806940193875	-17.142857142857142	0.6315602346714544	37.21646264403449	0	1	1
6	19	3393.234799552818	-17.142857142857142	0.6305425598003356	38.04512997100505	0	1	1
6	20	4445.907618130911	-17.142857142857142	0.631145490518024	36.483312860694866	0	1	1
6	21	5825.14789473436	-17.142857142857142	0.6325678210512016	39.92586517599155	0	1	1
6	22	7632.2656496838235	-17.142857142857142	0.0015463242025083135	-10.636129762059937	0	0	0
6	23	10000.0	-17.142857142857142	0.008655607493947283	3.5871947353593185	1	0	0
7	0	20.0	-12.0	4.5000369586348965	-5.301033362898401	1	0	0
7	1	26.20453862324424	-12.0	1.9556965602684162	12.1481066258468	0	1	1
7	2	34.33389222285494	-12.0	1.979456894190338	40.781768556438	0	1	1
7	3	44.985190242005366	-12.0	1.9794595108892519	58.79867195014489	0	1	1
7	4	58.940807758530966	-12.0	1.97934591676166	62.52552035616498	0	1	1
7	5	77.22583366968192	-12.0	1.979352994161288	60.882937336988704	0	1	1
7	6	101.18336705547074	-12.0	1.9793155257639152	58.51556022752303	0	1	1
7	7	132.5731725017491	-12.0	1.979410981092638	57.66037197161576	0	1	1
7	8	173.7009409614052	-12.0	1.979391145677594	57.93434329674059	0	1	1
7	9	227.5876508158505	-12.0	1.9794698738587497	57.063292407714734	0	1	1
7	10	298.1914692988688	-12.0	1.9793531925999883	54.20557038874446	0	1	1
7	11	390.6984937182078	-12.0	1.9793161261108392	53.93017631653091	0	1	1
7	12	511.903688434106	-12.0	1.9793715247274448	52.2332012985312	0	1	1
7	13	670.7099987476357	-12.0	1.979559959416965	50.40351514865979	0	1	1
7	14	878.7823033589261	-12.0	1.9793606207191727	51.57345129704037	0	1	1
7	15	1151.4042404896254	-12.0	1.9792028908193235	48.83990066415172	0	1	1
7	16	1508.6008445438788	-12.0	1.9793028399204808	46.339025939390396	0	1	1
7	17	1976.609454895447	-12.0	1.9794461260109304	46.641704502420595	0	1	1
7	18	2589.806940193875	-12.0	1.9791881108586964	47.13790856430758	0	1	1
7	19	3393.234799552818	-12.0	1.9795151635401722	47.982018518516604	0	1	1
7	20	4445.907618130911	-12.0	1.9788093780191394	46.408802387723505	0	1	1
7	21	5825.14789473436	-12.0	1.978610218212507	49.830928219253394	0	1	1
7	22	7632.2656496838235	-12.0	0.0008049701299384305	-16.306545523594224	0	0	0
7	23	10000.0	-12.0	0.004683435917413464	-0.8600330738221231	1	0	0
