freq_hz	exact_dbc	moved_dbc
16.754150390625	-145.38282726455668	-79.20102286121629
16.7999267578125	-141.1997336471864	-79.20249379590194
16.845703125	-140.80926994343156	-79.2011717505186
16.8914794921875	-140.90455485155442	-79.19920206536393
16.937255859375	-131.37767687710016	-79.21381246718711
16.9830322265625	-134.07760745753518	-79.20733963276048
17.02880859375	-144.34059559221072	-79.20575529339003
17.0745849609375	-134.98178558434	-79.2129744215182
17.120361328125	-141.60307541903055	-79.20595210284347
17.1661376953125	-135.78592534397305	-79.2120145896975
17.2119140625	-130.246124781815	-79.17499015270651
17.2576904296875	-138.2609108009762	-79.20744911413645
17.303466796875	-131.27080557191516	-79.19947087887381
17.3492431640625	-143.23385770143548	-79.19160469758228
17.39501953125	-134.5317411528615	-79.1819698891606
17.4407958984375	-135.04734627354674	-79.18278949495436
17.486572265625	-141.6239521988511	-79.19372490470218
17.5323486328125	-130.8893228713604	-79.20321915150186
17.578125	-133.12148031141157	-79.19280005974015
17.6239013671875	-139.11748653621075	-79.1985330646835
17.669677734375	-140.4638193641558	-79.19063798298457
17.7154541015625	-140.92918004700277	-79.19877889400678
17.76123046875	-143.56646131394416	-79.19280430696874
17.8070068359375	-136.5272436902315	-79.1794870628689
17.852783203125	-137.12080586479584	-79.18028152099428
17.8985595703125	-138.20384163409446	-79.19768654963752
17.9443359375	-134.8922118662448	-79.18887054559616
17.9901123046875	-158.394643582127	-79.18922133809203
18.035888671875	-143.12825141622167	-79.18233488710223
18.0816650390625	-141.6185372606912	-79.19194195849033
18.12744140625	-134.51001800084026	-79.177135623705
18.1732177734375	-134.36995615308635	-79.1711691528607
18.218994140625	-130.78762670008553	-79.185072599274
18.2647705078125	-137.4394430203436	-79.17933670465288
18.310546875	-132.711551404965	-79.19920185341871
18.3563232421875	-130.47456338562893	-79.20407089793906
18.402099609375	-132.0520104154341	-79.17350104452834
18.4478759765625	-141.36380245559374	-79.18026347640267
18.49365234375	-139.0324898213407	-79.18532029386094
18.5394287109375	-134.69193345169177	-79.1900834806764
18.585205078125	-132.99377187395925	-79.18105976195028
18.6309814453125	-137.90508629688983	-79.18635869692118
18.6767578125	-146.84211521366672	-79.17660824732059
18.7225341796875	-142.56170832971367	-79.18358084631093
18.768310546875	-133.8403312119115	-79.18126656500128
18.8140869140625	-135.65037968359172	-79.16517950291075
18.85986328125	-141.98705954600652	-79.17708617055806
18.9056396484375	-130.7963011049617	-79.18021930821935
18.951416015625	-137.074338906188	-79.18593295607519
18.9971923828125	-144.01908530948862	-79.1716869607153
19.04296875	-142.1301445828708	-79.17685337157495
19.0887451171875	-135.85760584766552	-79.16612009662322
19.134521484375	-131.81692302058596	-79.18346981236418
19.1802978515625	-139.07326932974917	-79.16333010107395
19.22607421875	-138.04230337789446	-79.17617620030168
19.2718505859375	-132.7076620544306	-79.18727537593392
19.317626953125	-159.7741159243139	-79.16938880699196
19.3634033203125	-134.3241694327005	-79.17243775996923
19.4091796875	-143.8477412438645	-79.16592905440011
19.4549560546875	-144.8785138915013	-79.1646824941571
19.500732421875	-146.4814797453924	-79.16497946806908
19.5465087890625	-139.46716136321092	-79.16399363778767
19.59228515625	-137.00913124143892	-79.15726196705397
19.6380615234375	-132.56180353494995	-79.15439553125373
19.683837890625	-132.87643154358892	-79.17473028683223
19.7296142578125	-142.8208388320335	-79.16677028901309
19.775390625	-134.80892482964015	-79.15556073989129
19.8211669921875	-132.79944665081413	-79.1784855410996
19.866943359375	-140.2183003989211	-79.166509552985
19.9127197265625	-131.01134487209129	-79.1559645350468
19.95849609375	-131.56792826700848	-79.15132131998263
20.0042724609375	-129.66823874670655	-79.13620801486105
20.050048828125	-135.87006755038684	-79.16438300600237
20.0958251953125	-139.45855070847114	-79.16384087678162
20.1416015625	-133.5802743896209	-79.1449681568683
20.1873779296875	-135.01516792936238	-79.15075896754901
20.233154296875	-134.74835220675428	-79.16758536412677
20.2789306640625	-138.8383447644914	-79.16076884103857
20.32470703125	-133.20496463393712	-79.13731264545609
20.3704833984375	-137.22640364646236	-79.16379831289157
20.416259765625	-147.4439379940048	-79.15000119289546
20.4620361328125	-142.50651451522066	-79.15274283675544
