input	bare_static	coupled_compensated_static
-0.040712980385531616	-0.04061712203409151	-0.17173529706636714
-0.03076891930700615	-0.030727475932644764	-0.1614763499616952
-0.02082485822848068	-0.02080929179802141	-0.15190745025406283
-0.010880797149955268	-0.01087682782648999	-0.1418587342968897
-0.0009367360714297446	0.0016321952374713932	-0.12923668837176805
0.009007325007095668	0.018009329477252173	-0.11299533242917714
0.01895138608562119	0.037881046669958895	-0.09339969401995069
0.028895447164146715	0.057719477337497126	-0.07320024431296439
0.03883950824267213	0.0775077320919156	-0.05372404338729627
0.04878356932119765	0.09723536007954359	-0.03389548512220952
0.05872763039972306	0.11688910360856641	-0.014197547673297893
0.06867169147824859	0.1364568544393726	0.005079606252645352
0.07861575255677411	0.15592067482189828	0.02498657167051506
0.08855981363529952	0.1752423844798609	0.04381604355618104
0.09850387471382493	0.19442890604022592	0.06327044918686223
0.10844793579235046	0.21346880325064738	0.08236611217867623
0.11839199687087587	0.23235369392736038	0.10103516055800826
0.1283360579494014	0.2510756165250308	0.11967964888136817
0.13828011902792692	0.26960624491862495	0.13835165241829275
0.14822418010645233	0.2879173395766915	0.1564602936658211
0.15816824118497785	0.3060072082827513	0.17467644029900992
0.16811230226350327	0.3238889039972222	0.19243880719197748
0.1780563633420288	0.34153753148908217	0.2101013489270504
0.1880004244205542	0.3589526221164185	0.22751602681949668
0.19794448549907973	0.3761243571917493	0.24458195372100022
0.20788854657760514	0.39303172868001	0.2616127582886302
0.21783260765613066	0.40969273195931477	0.27805900999794697
0.22777666873465607	0.42603583670138434	0.2946095021139784
0.2377207298131817	0.4420857491833286	0.3106877964263628
0.24766479089170712	0.4579167060142185	0.32617945433816053
0.2576088519702324	0.47341559214441187	0.3419078674994763
0.26755291304875806	0.4886509877030496	0.35692009836017236
0.27749697412728347	0.5035503509457937	0.3719709363991847
0.287441035205809	0.5181970411553747	0.3864395020303679
0.2973850962843344	0.5324896222799768	0.4008564888745907
0.30732915736285993	0.5465397883281349	0.414732076480554
0.31727321844138534	0.5602129537140552	0.42855721598125496
0.32721727951991086	0.5735664662940773	0.4419653014438084
0.3371613405984363	0.586768725404549	0.4547824757294142
0.3471054016769619	0.599551897494409	0.4678643175152785
0.3570494627554872	0.6120161042713254	0.48008008489423687
0.3669935238340126	0.6242075798069394	0.4923384650511652
0.37693758491253826	0.636044185277113	0.50425979147373
0.38688164599106367	0.647695513284031	0.5155848711050115
0.3968257070695892	0.6589482209963757	0.5270770282712753
0.4067697681481146	0.6697823633804749	0.5379477580639123
0.41671382922664013	0.6806426499756042	0.5486583899211304
0.42665789030516554	0.6909725893473949	0.5590095836171127
0.43660195138369107	0.701111168911345	0.5690916526097719
0.4465460124622165	0.710977344570099	0.5788983890198951
0.456490073540742	0.7205378791490361	0.5884396946487747
0.4664341346192674	0.7296874662750061	0.5976481951284317
0.47637819569779283	0.738838996197977	0.6066742609333664
0.48632225677631846	0.7475953849446317	0.6154517709118793
0.4962663178548439	0.7563190492479539	0.6239727176049643
