bin	sine	shifted_sine	clipper_input	clipper_shifted_output
106	0.249564195677	0.00227052583921	0.249564195677	0.00454079302235
107	0.238455270801	-0.00987035542204	0.238455270801	-0.0197371010817
108	0.227821942721	-0.0219752681361	0.227821942721	-0.0439195093205
109	0.217308802334	-0.0341560924794	0.217308802334	-0.0682008894483
110	0.205885304768	-0.0461814621765	0.205885304768	-0.092091263221
111	0.195251160236	-0.0583722102892	0.195251160236	-0.116202513643
112	0.183573404626	-0.0702531923505	0.183573404626	-0.139563246185
113	0.172659170492	-0.0824205178218	0.172659170492	-0.163331827507
114	0.160815430267	-0.094165959693	0.160815430267	-0.186082186696
115	0.149648874024	-0.106263835578	0.149648874024	-0.209322893274
116	0.137694787459	-0.117826975031	0.137694787459	-0.23128806635
117	0.126286642979	-0.129851773839	0.126286642979	-0.253912905629
118	0.114214229168	-0.141238893654	0.114214229168	-0.275036069801
119	0.102361363602	-0.152758551248	0.102361363602	-0.2961516746
120	0.0906962029684	-0.164662117111	0.0906962029684	-0.317715862214
121	0.0785023790196	-0.175621233413	0.0785023790196	-0.337181965738
122	0.0666764701288	-0.187363110221	0.0666764701288	-0.357837414888
123	0.0544669398148	-0.19804343747	0.0544669398148	-0.376186820815
124	0.0425226005955	-0.209588304627	0.0425226005955	-0.395854653756
125	0.0302944570231	-0.22001182372	0.0302944570231	-0.413124359659
126	0.0182347105825	-0.231332559067	0.0182347105825	-0.431754239674
127	0.00606049854722	-0.241423047324	0.00606049854722	-0.447829956908
128	-0.00604651999987	-0.252007605752	-0.00604651999987	-0.46450428986
129	-0.0182192459038	-0.262754707875	-0.0182192459038	-0.481233297873
130	-0.0303163451694	-0.272402475838	-0.0303163451694	-0.49566130146
131	-0.0424896450836	-0.28314399496	-0.0424896450836	-0.511789822817
132	-0.0544590018148	-0.292258085028	-0.0544590018148	-0.524800644431
133	-0.0666387378359	-0.302696052546	-0.0666387378359	-0.539881458331
134	-0.0784913201659	-0.311427055031	-0.0784913201659	-0.551780326481
135	-0.0906214107931	-0.321504486072	-0.0906214107931	-0.565784157874
136	-0.102309501161	-0.329826509787	-0.102309501161	-0.576603813042
137	-0.114168614899	-0.338901582133	-0.114168614899	-0.588480395619
138	-0.126137684928	-0.348100540227	-0.126137684928	-0.600516468802
139	-0.137551775786	-0.355854555815	-0.137551775786	-0.609888649429
140	-0.149526970109	-0.365131146305	-0.149526970109	-0.62166828655
141	-0.160664259451	-0.372201679349	-0.160664259451	-0.629739135091
142	-0.172496780914	-0.381047609324	-0.172496780914	-0.640582257405
143	-0.183372443881	-0.387633356716	-0.183372443881	-0.647722867247
144	-0.195026215217	-0.396029133398	-0.195026215217	-0.657678977542
145	-0.205645766702	-0.402149551293	-0.205645766702	-0.663990286493
146	-0.21710415746	-0.410068391326	-0.21710415746	-0.673086225651
147	-0.227412519578	-0.415676185185	-0.227412519578	-0.678573739258
148	-0.238045257361	-0.421988358216	-0.238045257361	-0.685161527901
149	-0.249260400782	-0.429342238475	-0.249260400782	-0.693329514553
150	-0.258992000368	-0.434005865791	-0.258992000368	-0.697436712338
151	-0.269910401016	-0.440833039216	-0.269910401016	-0.704853986752
152	-0.279284996485	-0.44497571608	-0.279284996485	-0.708289215055
153	-0.291020234181	-0.452993977396	-0.291020234181	-0.717727714042
154	-0.301775462313	-0.459223560864	-0.301775462313	-0.724647091081
155	-0.311587068128	-0.464152481548	-0.311587068128	-0.729373199477
156	-0.320842546182	-0.468092901342	-0.320842546182	-0.732917350599
157	-0.330294043594	-0.472468692598	-0.330294043594	-0.737024567395
158	-0.339152105613	-0.475841889481	-0.339152105613	-0.739965082388
159	-0.347976223092	-0.479246424678	-0.347976223092	-0.742997890324
160	-0.356867767223	-0.482828935792	-0.356867767223	-0.746298248864
161	-0.365042111656	-0.485268226948	-0.365042111656	-0.748303243396
162	-0.373504755452	-0.488265149519	-0.373504755452	-0.751040696427
163	-0.38121532583	-0.490113370662	-0.38121532583	-0.752496843212
164	-0.389225195836	-0.492520152488	-0.389225195836	-0.754693560213
165	-0.396473242136	-0.493785663273	-0.396473242136	-0.755631309759
166	-0.40402132541	-0.495591903466	-0.40402132541	-0.757294975566
167	-0.410768858059	-0.496260428371	-0.410768858059	-0.757714606212
168	-0.41751999312	-0.497019801155	-0.41751999312	-0.758336049667
169	-0.424395252961	-0.497988987059	-0.424395252961	-0.75930251754
170	-0.430333246341	-0.497696649489	-0.430333246341	-0.758883246545
171	-0.436681543406	-0.498062904359	-0.436681543406	-0.759341949255
172	-0.44208958127	-0.497182113171	-0.44208958127	-0.758427190794
173	-0.447919971547	-0.496944066197	-0.447919971547	-0.758376177932
174	-0.452798615246	-0.495472750894	-0.452798615246	-0.756959188699
175	-0.458075036457	-0.49461640873	-0.458075036457	-0.75637545343
176	-0.462397420215	-0.49256904656	-0.462397420215	-0.754461074787
177	-0.467128723472	-0.491108914264	-0.467128723472	-0.75335063749
178	-0.470890180771	-0.488476624016	-0.470890180771	-0.7509125187
179	-0.474664843324	-0.48593365556	-0.474664843324	-0.748666655582
