order	f0_hz	mag_db	expected_db	valid
5	169.2844438925503	-40.882740555363874	-40.88274057814733	1
5	191.55580710534733	-40.8827405627665	-40.88274057814733	1
5	216.75723056438406	-40.882740579071736	-40.88274057814733	1
5	245.27419821891658	-40.882740579092705	-40.88274057814733	1
5	277.5429089737472	-40.8827405840445	-40.88274057814733	1
5	314.05694883918255	-40.88274057763991	-40.88274057814733	1
5	355.3748408809335	-40.88274058157754	-40.88274057814733	1
5	402.12858845488597	-40.88274058436287	-40.88274057814733	1
5	455.0333424050646	-40.882740582592525	-40.88274057814733	1
5	514.898340095394	-40.882740584903026	-40.88274057814733	1
5	582.6392835999818	-40.88274058303894	-40.88274057814733	1
5	659.2923463901776	-40.8827405819218	-40.88274057814733	1
5	746.0300227663528	-40.8827405857098	-40.88274057814733	1
5	844.1790624691791	-40.88274058606557	-40.88274057814733	1
5	955.2407648003342	-40.88274058489581	-40.88274057814733	1
5	1080.9139426739125	-40.8827405874002	-40.88274057814733	1
5	1223.1209078593693	-40.88274057939646	-40.88274057814733	1
5	1384.0368748893488	-40.88274058290195	-40.88274057814733	1
5	1566.1232333980508	-40.882740585194604	-40.88274057814733	1
5	1772.1651978277387	-40.882740586584546	-40.88274057814733	1
5	2005.314410397745	-40.88274058540618	-40.88274057814733	1
5	2269.137148996054	-40.88274058478792	-40.88274057814733	1
5	2567.668877386994	-40.882740584241304	-40.88274057814733	1
5	2905.4759721415326	-40.88274058388517	-40.88274057814733	1
5	3287.725570472562	-40.8827405836422	-40.88274057814733	1
5	3720.264607375867	-40.882740593923174	-40.88274057814733	1
5	4209.709251038291	-40.88273971159105	-40.88274057814733	1
5	4763.546104527652	-40.882726132010134	-40.88274057814733	1
5	5390.2467217572985	-40.88255037705985	-40.88274057814733	1
5	6099.397189375245	-40.88199466853378	-40.88274057814733	1
5	6901.844756677489	-40.92736423172262	-40.88274057814733	1
5	7809.863756414217	-40.9086409838764	-40.88274057814733	1
5	8837.343354433064	-40.882729958862555	-40.88274057814733	0
5	10000.0	nan	-40.88274057814733	0
7	30.000000000000004	-62.32799559537327	-62.32797104141329	1
7	33.94685347939	-62.32801397982928	-62.32797104141329	1
7	38.41296203837241	-62.32795565291273	-62.32797104141329	1
7	43.46663980086661	-62.32798073811641	-62.32797104141329	1
7	49.18518841871466	-62.32797256319074	-62.32797104141329	1
7	55.65607948687654	-62.32796849516289	-62.32797104141329	1
7	62.97829251927601	-62.32797229741755	-62.32797104141329	1
7	71.26382895113416	-62.32797221079339	-62.32797104141329	1
7	80.63942532614878	-62.327971667772516	-62.32797104141329	1
7	91.24849187363274	-62.327971248337725	-62.32797104141329	1
7	103.25330612831728	-62.327971069017785	-62.32797104141329	1
7	116.83749514668631	-62.327971068096105	-62.32797104141329	1
7	132.2088442881166	-62.327970961638954	-62.32797104141329	1
7	149.60247552427265	-62.32797099273614	-62.32797104141329	1
7	169.2844438925503	-62.32797102132839	-62.32797104141329	1
7	191.55580710534733	-62.32797105768556	-62.32797104141329	1
7	216.75723056438406	-62.327971038192025	-62.32797104141329	1
7	245.27419821891658	-62.32797105081375	-62.32797104141329	1
7	277.5429089737472	-62.32797104620203	-62.32797104141329	1
7	314.05694883918255	-62.32797105331187	-62.32797104141329	1
7	355.3748408809335	-62.327971037471166	-62.32797104141329	1
7	402.12858845488597	-62.327971046513596	-62.32797104141329	1
7	455.0333424050646	-62.32797103213633	-62.32797104141329	1
7	514.898340095394	-62.32797104623523	-62.32797104141329	1
7	582.6392835999818	-62.327971046506235	-62.32797104141329	1
7	659.2923463901776	-62.32797104356344	-62.32797104141329	1
7	746.0300227663528	-62.32797102436935	-62.32797104141329	1
7	844.1790624691791	-62.32797104857737	-62.32797104141329	1
7	955.2407648003342	-62.327971036600104	-62.32797104141329	1
7	1080.9139426739125	-62.32797100309055	-62.32797104141329	1
7	1223.1209078593693	-62.327971053843626	-62.32797104141329	1
7	1384.0368748893488	-62.32797102052289	-62.32797104141329	1
7	1566.1232333980508	-62.32797104189117	-62.32797104141329	1
7	1772.1651978277387	-62.32797104589789	-62.32797104141329	1
7	2005.314410397745	-62.32797104954869	-62.32797104141329	1
7	2269.137148996054	-62.32797103501107	-62.32797104141329	1
7	2567.668877386994	-62.32797104126527	-62.32797104141329	1
7	2905.4759721415326	-62.327971027139874	-62.32797104141329	1
7	3287.725570472562	-62.3279710288584	-62.32797104141329	1
7	3720.264607375867	-62.3279698926273	-62.32797104141329	1
7	4209.709251038291	-62.32801814280251	-62.32797104141329	1
7	4763.546104527652	-62.327357739497025	-62.32797104141329	1
7	5390.2467217572985	-62.346408663714215	-62.32797104141329	1
7	6099.397189375245	-62.62725865320103	-62.32797104141329	1
7	6901.844756677489	nan	-62.32797104141329	0
7	7809.863756414217	nan	-62.32797104141329	0
7	8837.343354433064	nan	-62.32797104141329	0
7	10000.0	nan	-62.32797104141329	0
9	30.000000000000004	-83.75675672904941	-83.75672603566493	1
9	33.94685347939	-83.7566430279904	-83.75672603566493	1
9	38.41296203837241	-83.756741446525	-83.75672603566493	1
9	43.46663980086661	-83.75671000524783	-83.75672603566493	1
9	49.18518841871466	-83.7567265864987	-83.75672603566493	1
