hardclip_k_dbfs	hardclip_sse	under_k_dbfs	under_sse
-49.0640066964	37.832617344	-49.0640066964	0.162139653589
-49.0106026786	37.8020164384	-49.0106026786	0.162773184082
-48.9571986607	37.7716585645	-48.9571986607	0.16340903966
-48.9037946429	37.7415437761	-48.9037946429	0.164047145214
-48.850390625	37.7116720865	-48.850390625	0.164687426268
-48.7969866071	37.6820434694	-48.7969866071	0.165329808989
-48.7435825893	37.6526578598	-48.7435825893	0.165974220197
-48.6901785714	37.6235151541	-48.6901785714	0.166620587372
-48.6367745536	37.5946152113	-48.6367745536	0.167268838665
-48.5833705357	37.5659578535	-48.5833705357	0.167918902904
-48.5299665179	37.5375428665	-48.5299665179	0.1685707096
-48.4765625	37.5093700005	-48.4765625	0.169224188957
-48.4231584821	37.4752740944	-48.4231584821	0.169808532136
-48.3697544643	37.4378775694	-48.3697544643	0.170355601997
-48.3163504464	37.4007000726	-48.3163504464	0.170906114606
-48.2629464286	37.3637429291	-48.2629464286	0.171460005047
-48.2095424107	37.3270074187	-48.2095424107	0.172017208485
-48.1561383929	37.2904947763	-48.1561383929	0.172577660178
-48.102734375	37.2542061918	-48.102734375	0.173141295493
-48.0493303571	37.2181428106	-48.0493303571	0.173708049923
-47.9959263393	37.1823057337	-47.9959263393	0.174277859099
-47.9425223214	37.1466960179	-47.9425223214	0.174850658806
-47.8891183036	37.1113146762	-47.8891183036	0.175426384994
-47.8357142857	37.0761626781	-47.8357142857	0.176004973798
-47.7823102679	37.0412409497	-47.7823102679	0.176586361544
-47.72890625	37.0065503741	-47.72890625	0.17717048477
-47.6755022321	36.9720917917	-47.6755022321	0.177757280232
-47.6220982143	36.9378660005	-47.6220982143	0.17834668492
-47.5686941964	36.9038737566	-47.5686941964	0.178938636073
-47.5152901786	36.8701157742	-47.5152901786	0.179533071186
-47.4618861607	36.8365927264	-47.4618861607	0.180129928025
-47.4084821429	36.803305245	-47.4084821429	0.180729144638
-47.355078125	36.7702539213	-47.355078125	0.181330659368
-47.3016741071	36.7374393065	-47.3016741071	0.18193441086
-47.2482700893	36.7048619118	-47.2482700893	0.182540338076
-47.1948660714	36.6725222089	-47.1948660714	0.183148380304
-47.1414620536	36.6404206307	-47.1414620536	0.183758477168
-47.0880580357	36.6085575712	-47.0880580357	0.184370568636
-47.0346540179	36.5769333862	-47.0346540179	0.184984595035
-46.98125	36.5455483938	-46.98125	0.185600497055
-46.9278459821	36.5144028748	-46.9278459821	0.186218215761
-46.8744419643	36.4834970729	-46.8744419643	0.186837692601
-46.8210379464	36.4528311954	-46.8210379464	0.187458869414
-46.7676339286	36.4165172855	-46.7676339286	0.188015984932
-46.7142299107	36.3765874476	-46.7142299107	0.188533288248
-46.6608258929	36.3368634107	-46.6608258929	0.189053756953
-46.607421875	36.2973468808	-46.607421875	0.189577340811
-46.5540178571	36.2580395251	-46.5540178571	0.190103989488
-46.5006138393	36.2189429718	-46.5006138393	0.19063365256
-46.4472098214	36.1800588103	-46.4472098214	0.191166279527
-46.3938058036	36.1413885908	-46.3938058036	0.191701819827
-46.3404017857	36.1029338243	-46.3404017857	0.192240222843
-46.2869977679	36.0646959831	-46.2869977679	0.19278143792
-46.23359375	36.0266765001	-46.23359375	0.193325414372
