t_ms	level_dbfs
200.666666667	-40.1714285714
200.75	-40.1714285714
200.833333333	-40.1714285714
200.916666667	-40.1714285714
201	-40.1714285714
201.083333333	-40.1714285714
201.166666667	-40.1714285714
201.25	-40.1714285714
201.333333333	-40.1714285714
201.416666667	-40.1714285714
201.5	-40.1714285714
201.583333333	-40.1714285714
201.666666667	-40.1714285714
201.75	-40.1714285714
201.833333333	-40.1714285714
201.916666667	-40.1714285714
202	-40.1714285714
202.083333333	-40.1714285714
202.166666667	-40.1714285714
202.25	-40.1714285714
202.333333333	-40.1714285714
202.416666667	-40.1714285714
202.5	-40.1714285714
202.583333333	-40.1714285714
202.666666667	-40.1714285714
202.75	-40.1714285714
202.833333333	-40.1714285714
202.916666667	-40.1714285714
203	-40.1714285714
203.083333333	-40.1714285714
203.166666667	-40.1714285714
203.25	-40.1714285714
203.333333333	-40.1714285714
203.416666667	-40.1714285714
203.5	-40.1714285714
203.583333333	-40.1714285714
203.666666667	-40.1714285714
203.75	-40.1714285714
203.833333333	-40.1714285714
203.916666667	-40.1714285714
204	-40.1714285714
204.083333333	-40.1714285714
204.166666667	-40.1714285714
204.25	-40.1714285714
204.333333333	-40.1714285714
204.416666667	-40.1714285714
204.5	-40.1714285714
204.583333333	-40.1714285714
204.666666667	-40.1714285714
204.75	-40.1714285714
204.833333333	-40.1714285714
204.916666667	-40.1714285714
205	-40.1714285714
205.083333333	-40.1714285714
205.166666667	-40.1714285714
205.25	-40.1714285714
205.333333333	-40.1714285714
205.416666667	-40.1714285714
205.5	-40.1714285714
205.583333333	-40.1714285714
205.666666667	-40.1714285714
205.75	-40.1714285714
205.833333333	-40.1714285714
205.916666667	-40.1714285714
206	-40.1714285714
206.083333333	-40.1714285714
206.166666667	-40.1714285714
206.25	-40.1714285714
206.333333333	-40.1714285714
206.416666667	-40.1714285714
206.5	-40.1714285714
206.583333333	-40.1714285714
206.666666667	-40.1714285714
206.75	-40.1714285714
206.833333333	-40.1714285714
206.916666667	-40.1714285714
207	-40.1714285714
207.083333333	-40.1714285714
207.166666667	-40.1714285714
207.25	-40.1714285714
207.333333333	-40.1714285714
207.416666667	-40.1714285714
207.5	-40.1714285714
207.583333333	-40.1714285714
207.666666667	-40.1714285714
207.75	-40.1714285714
207.833333333	-40.1714285714
207.916666667	-40.1714285714
208	-40.1714285714
208.083333333	-40.1714285714
208.166666667	-40.1714285714
208.25	-40.1714285714
208.333333333	-40.1714285714
208.416666667	-40.1714285714
208.5	-40.1714285714
208.583333333	-40.1714285714
208.666666667	-40.1714285714
208.75	-40.1714285714
208.833333333	-40.1714285714
208.916666667	-40.1714285714
209	-40.1714285714
