input_dbfs	error_exact_db	error_miscut_db	leak_h2_db	leak_h3_db	leak_h4_db	leak_h5_db	leak_h6_db	leak_h7_db	leak_h8_db	leak_h9_db
-36.8571428571	-2.99121651892e-08	-2.99121651892e-08	-158.237379289	-171.756323026	-180.177665898	-186.403942222	-191.37403701	-195.521370765	-199.084701372	-202.210676584
-35.2	-2.99121651892e-08	-2.99121651892e-08	-158.237379308	-171.756323341	-180.177664113	-186.403941035	-191.374038273	-195.521376211	-199.084687692	-202.210715632
-33.5428571429	-2.99121651892e-08	-2.99121651892e-08	-158.23737922	-171.756323103	-180.177665232	-186.40394022	-191.374032743	-195.521386265	-199.084688029	-202.210713061
-31.8857142857	-2.99121651892e-08	-2.99121651892e-08	-158.237379509	-171.756324378	-180.177667783	-186.403943146	-191.374029541	-195.521365817	-199.084667298	-202.210669036
-30.2285714286	-2.99121651892e-08	-2.99121651892e-08	-158.237379593	-171.756323994	-180.177668503	-186.403939374	-191.37403305	-195.521344633	-199.084691476	-202.210638511
-28.5714285714	-2.99121651892e-08	-2.99121651892e-08	-158.237379382	-171.756323357	-180.177667046	-186.403942016	-191.374037174	-195.521359652	-199.084693517	-202.210651768
-26.9142857143	-2.99121687419e-08	-2.99121687419e-08	-158.237379315	-171.75632321	-180.177665223	-186.403941857	-191.374038046	-195.521372641	-199.084695614	-202.210688977
-25.2571428571	-2.99121651892e-08	-2.99121651892e-08	-158.237379317	-171.756323383	-180.177663893	-186.40394106	-191.374037862	-195.521377295	-199.084696411	-202.210722404
-23.6	-2.99121687419e-08	-2.99121687419e-08	-158.23737923	-171.756323074	-180.177665094	-186.403940512	-191.37403279	-195.521385098	-199.084699541	-202.210714097
-21.9428571429	-2.99121651892e-08	-2.99121651892e-08	-158.237379388	-171.756322787	-180.177670506	-186.403942338	-191.374031883	-195.521396707	-199.093046526	-202.210802315
-20.2857142857	-2.99121651892e-08	-2.99121651892e-08	-158.237379473	-171.756322919	-180.177680039	-186.403937359	-191.374072882	-195.521376409	-199.091152261	-202.210722399
-18.6285714286	-2.99121651892e-08	-2.99121651892e-08	-158.237379139	-171.756325243	-180.177676576	-186.403945999	-191.374073799	-195.521362748	-199.083130642	-202.210674289
-16.9714285714	-2.99121687419e-08	-2.99121687419e-08	-158.237378913	-171.756326647	-180.177675248	-186.40394921	-191.374081328	-195.521341591	-199.075581288	-202.210645303
-15.3142857143	-2.99121651892e-08	-2.99121634129e-08	-158.23737904	-171.756326358	-180.177676164	-186.403950772	-191.374080376	-195.521342279	-199.070682805	-202.210645961
-13.6571428571	-2.99121651892e-08	-2.99121651892e-08	-158.237379444	-171.756324552	-180.177678714	-186.403952581	-191.374066237	-195.521372835	-199.069850271	-202.210667693
-12	-0.00569873317421	-0.00571224586738	-109.726546244	-132.32018942	-141.199880288	-147.811983051	-157.448389295	-157.902153249	-165.469953254	-166.491634107
