order	f0_hz	py_minus_swift_db	py_minus_analytic_db	swift_minus_analytic_db
7	30	1.7763568394e-13	-2.45539445984e-05	-2.45539447761e-05
7	33.9468534794	-2.77111666946e-13	-4.29384006111e-05	-4.2938400334e-05
7	38.4129620384	6.32383034826e-13	1.53885159406e-05	1.53885153082e-05
7	43.4666398009	1.56319401867e-13	-9.69668774076e-06	-9.69668789708e-06
7	49.1851884187	5.82645043323e-13	-1.5217620728e-06	-1.52176265544e-06
7	55.6560794869	9.94759830064e-14	2.546265776e-06	2.54626567653e-06
7	62.9782925193	6.39488462184e-14	-1.25598888445e-06	-1.2559889484e-06
7	71.2638289511	5.11590769747e-13	-1.16936472239e-06	-1.16936523398e-06
7	80.6394253261	3.12638803734e-13	-6.26343847898e-07	-6.26344160537e-07
7	91.2484918736	-4.54747350886e-13	-2.06909056999e-07	-2.06908602252e-07
7	103.253306128	7.1054273576e-14	-2.75891167689e-08	-2.75891878232e-08
7	116.837495147	-1.56319401867e-13	-2.66674362592e-08	-2.66672799398e-08
7	132.208844288	1.91846538655e-13	7.97897143912e-08	7.97895225446e-08
7	149.602475524	5.40012479178e-13	4.86925273435e-08	4.8691987331e-08
7	169.284443893	7.88702436694e-13	2.01002805511e-08	2.00994918487e-08
7	191.555807105	2.27373675443e-13	-1.62568909445e-08	-1.62571183182e-08
7	216.757230564	-6.39488462184e-14	3.23664295365e-09	3.2367069025e-09
7	245.274198219	9.23705556488e-14	-9.38508293302e-09	-9.38517530358e-09
7	277.542908974	1.4921397451e-13	-4.77336214999e-09	-4.77351136396e-09
7	314.056948839	-2.84217094304e-14	-1.1883201978e-08	-1.18831735563e-08
7	355.374840881	8.45545855555e-13	3.95750276994e-09	3.95665722408e-09
7	402.128588455	3.76587649953e-13	-5.08492803419e-09	-5.08530462184e-09
7	455.033342405	1.84741111298e-13	9.29233578972e-09	9.29215104861e-09
7	514.898340095	-4.40536496171e-13	-4.8065587066e-09	-4.80611817011e-09
7	582.6392836	-1.13686837722e-13	-5.07756681145e-09	-5.07745312461e-09
7	659.29234639	1.42108547152e-13	-2.13476880617e-09	-2.13491091472e-09
7	746.030022766	-2.27373675443e-13	1.70593210669e-08	1.70595484406e-08
7	844.179062469	9.30810983846e-13	-7.14869941021e-09	-7.14963022119e-09
7	955.2407648	3.33955085807e-13	4.82856421513e-09	4.82823026005e-09
7	1080.91394267	1.42108547152e-13	3.83381149049e-08	3.83379727964e-08
7	1223.12090786	-2.13162820728e-13	-1.24149579506e-08	-1.24147447877e-08
7	1384.03687489	8.10018718767e-13	2.09057802181e-08	2.09049701994e-08
7	1566.1232334	1.15107923193e-12	-4.62499372134e-10	-4.63650451366e-10
7	1772.16519783	-5.96855898038e-13	-4.46922143738e-09	-4.46862458148e-09
7	2005.3144104	9.45021838561e-13	-8.12001843542e-09	-8.12096345726e-09
7	2269.137149	-7.74491581979e-13	6.4176006731e-09	6.41837516469e-09
7	2567.66887739	8.73967564985e-13	1.63396407515e-10	1.6252243995e-10
7	2905.47597214	6.46593889542e-13	1.42887941479e-08	1.4288147554e-08
7	3287.72557047	1.32160948851e-12	1.25702683818e-08	1.25689467723e-08
