bin	input_E2	output_E2	input_A4	output_A4	input_C7	output_C7
147	-0.22741251957775943	-0.33583613794339046	-0.22904125282009558	-0.4668917032630148	-0.22818785636262373	-0.4284545027280637
148	-0.23804525736056886	-0.3445388201327758	-0.2389870523785382	-0.4620401320168146	-0.23886318767850162	-0.43438400955891643
149	-0.24926040078174674	-0.35408149160074287	-0.249995517103814	-0.4579219404381808	-0.24865359574714935	-0.43867967497778315
150	-0.2589920003684571	-0.3614597685110975	-0.2604879802267523	-0.4527982172927246	-0.2598357028163462	-0.44544765803258435
151	-0.26991040101647906	-0.370572978496976	-0.27044799247045914	-0.4480131436616486	-0.2692790770865189	-0.44928980643207456
152	-0.2792849964847132	-0.3774935875652127	-0.2805396473121758	-0.4422929273360269	-0.27986450712075833	-0.45499783431058494
153	-0.29102023418085404	-0.3876524212635485	-0.29095971688343264	-0.4370741448081151	-0.28973640571420006	-0.459521945985169
154	-0.3017754623127784	-0.3963784386745208	-0.3010099319691923	-0.43124076254644605	-0.29996147194536454	-0.46462329989199214
155	-0.31158706812766357	-0.4039247257415009	-0.31015793845868633	-0.4241714969556153	-0.30906548519264404	-0.46794866194228674
156	-0.32084254618188396	-0.41067653568050727	-0.3192995960462675	-0.41813672074151637	-0.317396405149773	-0.47020482126803614
157	-0.3302940435942007	-0.41774760199948174	-0.3289956808196113	-0.4118050049382506	-0.3286785367838057	-0.4767668512304534
158	-0.33915210561258186	-0.4239969101778495	-0.33800392313841565	-0.4045830297926859	-0.3361092191550452	-0.4777314510765797
159	-0.3479762230924105	-0.4302408909401409	-0.346579426755734	-0.39782740827688456	-0.34547985090432204	-0.4814731978236706
160	-0.3568677672227475	-0.4366077897492594	-0.3550535028962101	-0.3900375292159207	-0.35447458731587717	-0.48466397530021715
161	-0.36504211165612926	-0.44201586650346475	-0.3640548489206872	-0.38279602660309126	-0.36241406603211673	-0.486428662634776
162	-0.373504755452371	-0.44785580625740357	-0.37174053807125634	-0.37417018416361797	-0.36932919098018563	-0.4868644249091033
163	-0.3812153258299115	-0.45271531656910124	-0.3798375227245608	-0.36600832656402904	-0.37966005386028967	-0.4917631039717836
164	-0.38922519583559406	-0.45801383349669544	-0.3873896586987939	-0.3581361316561939	-0.3862211204522807	-0.4917497468105846
165	-0.39647324213567803	-0.46232979514786143	-0.3953628744034145	-0.34981809564883026	-0.39299725212699416	-0.4920544325460853
166	-0.40402132541024	-0.4670768910509691	-0.40256966581767434	-0.3408138527630305	-0.4014539486553882	-0.49443022983725826
167	-0.4107688580589492	-0.47082272000000763	-0.4094346322556465	-0.33231795785413265	-0.4078415743398431	-0.4942805399397915
168	-0.4175199931200094	-0.47461523775993314	-0.41597678154389295	-0.3227933309469474	-0.4139415693202998	-0.493797304422317
169	-0.4243952529610439	-0.4785786133127981	-0.4223921748925941	-0.3131608471636729	-0.4211097710278007	-0.4945601478776807
170	-0.43033324634060105	-0.48140531384794427	-0.42868546622047143	-0.30345006697380417	-0.42800242093611646	-0.49501744358965966
171	-0.4366815434063511	-0.48478323123433814	-0.4349613874485137	-0.2937424983585299	-0.43334944082734494	-0.49364179161140687
172	-0.4420895812704749	-0.48702949863833367	-0.4406413029486342	-0.28435059013958663	-0.4383129836270096	-0.49187858814706076
173	-0.44791997154691776	-0.48982577685595674	-0.4465269284673731	-0.2743490096119551	-0.44510019884418234	-0.4921753929664633
174	-0.45279861524643894	-0.49149083895735407	-0.4516998902778499	-0.26390468023861	-0.4490066623361666	-0.48925958228752325
175	-0.4580750364570946	-0.4936799525531217	-0.45572563629682356	-0.25352131957420426	-0.45469687219838456	-0.4882813685633907
176	-0.46239742021491814	-0.4947580536187188	-0.46095617980095605	-0.24311430922846833	-0.46068025355441206	-0.48759848740371814
177	-0.46712872347209833	-0.49635209284496845	-0.46520370887146467	-0.23215653383014992	-0.4628537466161299	-0.48289785382444544
178	-0.47089018077123823	-0.49683622783361625	-0.46915695199664564	-0.22107785244642153	-0.46694620933865305	-0.4802370946256785
179	-0.4746648433240325	-0.49737357076040445	-0.4734133697138932	-0.21015720927485274	-0.47217448825527353	-0.478732221248133
180	-0.47861784877692515	-0.4981477707255428	-0.47700499744679997	-0.19959359039503125	-0.47514284640706	-0.47489697516562895
181	-0.48145506416128975	-0.49766303626059544	-0.48049852729744674	-0.1882956705364443	-0.47752623864263943	-0.470510555424423
182	-0.48482070804137617	-0.4978177318299764	-0.48258306324181177	-0.17647685991375434	-0.48196609060641354	-0.4681326488615402
183	-0.4870699224176602	-0.49674066483782375	-0.4853064943518581	-0.16556246888027232	-0.48466154115243215	-0.4640515492782877
