bin	input	output	ellipse_input	ellipse_output	residual
156	-0.32084254618188396	-0.7420471475088127	-0.3199096672423654	-0.6991979579226674	-0.042849189586145364
157	-0.3302940435942007	-0.7490647666093129	-0.32913964168385124	-0.7088451124581631	-0.04021965415114981
158	-0.33915210561258186	-0.7548518819917941	-0.33817135471251075	-0.7180656422313102	-0.036786239760483896
159	-0.3479762230924105	-0.7603280374115974	-0.34699936596213266	-0.7268539931397509	-0.033474044271846526
160	-0.3568677672227475	-0.7656348273850366	-0.3556183577688411	-0.7352048714095157	-0.030429955975520895
161	-0.36504211165612926	-0.7696429989098337	-0.36402313837425637	-0.7431132467837944	-0.026529752126039252
162	-0.373504755452371	-0.7738448676475667	-0.3722086450528169	-0.7505743555529748	-0.023270512094591855
163	-0.3812153258299115	-0.7767802358707749	-0.3801699471613753	-0.7575837034241231	-0.01919653244665187
164	-0.38922519583559406	-0.779942414456788	-0.38790224910923365	-0.764137068228178	-0.015805346228610073
165	-0.39647324213567803	-0.781883995770134	-0.39540089324682787	-0.7702305024632277	-0.011653493306906348
166	-0.40402132541024	-0.784067939349699	-0.40266136267132224	-0.7758603356723375	-0.008207603677361508
167	-0.4107688580589492	-0.7850688821818701	-0.40967928394742126	-0.7810231766544947	-0.004045705527375376
168	-0.4175199931200094	-0.7859585961863164	-0.4164504297417654	-0.7857159155073431	-0.00024268067897326162
169	-0.4243952529610439	-0.7868503273900014	-0.4229707213693176	-0.7899357255004703	0.0030853981104689288
170	-0.43033324634060105	-0.7865052457384949	-0.4292362312502111	-0.7936800647781255	0.0071748190396305755
171	-0.4366815434063511	-0.7865738161474038	-0.4352431852755759	-0.7969466778903377	0.010372861742933837
172	-0.4420895812704749	-0.7854489592720427	-0.4409879650809216	-0.7997335971515146	0.014284637879471873
173	-0.44791997154691776	-0.7847493323550665	-0.4464671102257046	-0.8020391438257026	0.01728981147063613
174	-0.45279861524643894	-0.7828940941541178	-0.4516773202777683	-0.8038619291377955	0.020967834983677713
175	-0.4580750364570946	-0.7814661627326498	-0.45661545680139953	-0.8052008551100798	0.023734692377429978
