bin	input	output	truth
53	0.4800907694721879	0.7424776961355575	0.7443578322205413
54	0.4821617580204711	0.7438007613562116	0.7461991823182951
55	0.4856697024262617	0.7473394504615657	0.7492922875607855
56	0.48717275757734846	0.7481459007644755	0.7506076836716643
57	0.49009111072883893	0.7511340382259784	0.7531447762099899
58	0.49101441335059576	0.7514282828285956	0.7539428261974729
59	0.4924867424289564	0.7526368081247685	0.7552108341763377
60	0.494489745964047	0.7548703231553601	0.756926840785924
61	0.4944760245280922	0.754297251971255	0.7569151207413612
62	0.49601293952858055	0.7561347321431052	0.7582248391682205
63	0.4953306765510421	0.7549913369645355	0.7576441854860138
64	0.4962663178548439	0.7563190492479539	0.7584401761761388
65	0.49501794329257204	0.7547167090114117	0.7573776259234307
66	0.4953241063611047	0.7554958051719992	0.7576385879531824
67	0.4934959827499871	0.7534100197456391	0.7560767665133767
68	0.4931903572658257	0.7536601260493033	0.7558148174027258
69	0.4908107067958431	0.7511216690754093	0.7537669448191991
70	0.48892550276994007	0.7494477722646566	0.7521341164011809
71	0.4878211205506945	0.7490545804477544	0.7511732679771387
72	0.48444612308025814	0.74555682181033	0.7482170896552357
73	0.48274060759186727	0.7446109324736082	0.7467118161937765
74	0.4788126526001428	0.7406045420592411	0.7432157566836503
75	0.4764739748329645	0.7390306337696946	0.7411147420375407
76	0.4720265593930148	0.7345245377625473	0.7370789083094592
77	0.4690843125112614	0.7323350151001455	0.734379697376045
78	0.46409799164774856	0.7272670410966506	0.7297516956617897
79	0.4597354788496666	0.7231604685180794	0.7256470431238667
80	0.45585193524777085	0.7200111208700513	0.7219490534495072
81	0.45002972431419486	0.7139238482295375	0.7163268155356726
82	0.4457562244965777	0.7102661753805007	0.7121399555841685
83	0.43934670360970596	0.7034593715558698	0.7057641499825249
84	0.4345110854742364	0.6990757463077989	0.7008769803002287
85	0.42762407739224684	0.6916148930258368	0.6938012935689237
86	0.4222098796192665	0.6864246850381396	0.6881429685911373
87	0.414857059909536	0.678257114249485	0.6803224721984642
88	0.4081707665444711	0.6710585066180473	0.6730737210018253
89	0.40181951668530175	0.6645081451022073	0.6660662775138412
90	0.3937859978241624	0.6551417682849934	0.6570313778149143
91	0.387146242223583	0.6479711694987509	0.649418526821631
92	0.37858875903919614	0.6376680513588088	0.6394114527578181
93	0.3714508881685417	0.6295617001962479	0.6308951463442036
94	0.3624817041662476	0.6183869053602374	0.6199743414857047
95	0.3548515705520935	0.609272227634018	0.6104906466319776
96	0.34551974984581696	0.5972218883326483	0.5986493782364534
97	0.33741135446900783	0.5870487939557721	0.5881433046306951
98	0.3277115203101483	0.5740439741473065	0.5753094028877659
99	0.3184608117024083	0.5615938308780803	0.562799876990341
100	0.3097750839509059	0.5499217044616717	0.5508147517429268
101	0.29947281193152825	0.5352543045555328	0.5362988715808011
102	0.290379084131108	0.5224452346755049	0.5232162638018905
103	0.27978438954004636	0.5067701548869114	0.5076574146062448
104	0.2703053962976414	0.49279818373198675	0.4934501747534712
105	0.2594362988644075	0.4760952273698327	0.4768294115515623
106	0.2495641956765872	0.4608934243142159	0.46143140657903486
107	0.23845527080118442	0.443172129151663	0.4437659581466195
108	0.22782194272058695	0.42599801657544395	0.42652721641627434
109	0.21730880233421057	0.4087930520213956	0.4091730721087084
110	0.20588530476764055	0.3895627273886754	0.3899750503041747
111	0.19525116023612835	0.3715062407253004	0.37179319332409067
112	0.1835734046258751	0.35118868444334295	0.35149353904861896
113	0.17265917049246096	0.3320085163477503	0.33221708971377495
114	0.16081543026722456	0.31076684828496765	0.31098080895157326
115	0.14964887402404908	0.29052595228407385	0.29066982434127425
116	0.1376947874590358	0.26849163371301843	0.26863268165676746
117	0.12628664297895154	0.2472438101561298	0.2473360605236198
118	0.1142142291682751	0.22445103843936873	0.2245365701458946
119	0.10236136360187087	0.20184454025768078	0.20190980353428775
120	0.09069620296838529	0.17938927290180742	0.17942878186829123
121	0.07850237901959765	0.1556942150475226	0.15572727121694815
122	0.06667647012875658	0.13254901396922247	0.13256805078738945
123	0.054466939814782345	0.10849106241118563	0.10850502390299699
124	0.04252260059545056	0.08483324242792331	0.08484075755556839
125	0.030294457023109303	0.06051036031962962	0.06051488178594436
126	0.01823471058247586	0.036451191067483325	0.03645326142486573
127	0.006060498547223255	0.012119780960641941	0.012120403529473132
128	-0.0060465199998708166	-0.012091841954616045	-0.01209245053231775
129	-0.018219245903817433	-0.036420244501815136	-0.036422373132908394
130	-0.030316345169442604	-0.06055399384770439	-0.06055849765202683
131	-0.04248964508357669	-0.08476775112548766	-0.08477532059052217
132	-0.054459001814841305	-0.10847515797281926	-0.10848933478963757
133	-0.0666387378358804	-0.13247450855154272	-0.13249391169644664
134	-0.07849132016588654	-0.1556717700672976	-0.15570568981134267
135	-0.09062141079310193	-0.1792430122607563	-0.17928400945461137
136	-0.10230950116105884	-0.20174293333627852	-0.20181030518046358
137	-0.11416861489885825	-0.22436041327338943	-0.22444993927200058
