input_dbfs	lower_line_dbfs	upper_line_dbfs	hinge_dbfs
-50.472361809	-32.4502422291	-20.7268028071	-32.4502422291
-50.1809045226	-32.1606585867	-20.5592351629	-32.1606585867
-49.8894472362	-31.8710749442	-20.3916675187	-31.8710749442
-49.5979899497	-31.5814913018	-20.2240998746	-31.5814913018
-49.3065326633	-31.2919076593	-20.0565322304	-31.2919076593
-49.0150753769	-31.0023240168	-19.8889645862	-31.0023240168
-48.7236180905	-30.7127403744	-19.721396942	-30.7127403744
-48.432160804	-30.4231567319	-19.5538292979	-30.4231567319
-48.1407035176	-30.1335730895	-19.3862616537	-30.1335730895
-47.8492462312	-29.843989447	-19.2186940095	-29.843989447
-47.5577889447	-29.5544058046	-19.0511263654	-29.5544058046
-47.2663316583	-29.2648221621	-18.8835587212	-29.2648221621
-46.9748743719	-28.9752385196	-18.715991077	-28.9752385196
-46.6834170854	-28.6856548772	-18.5484234328	-28.6856548772
-46.391959799	-28.3960712347	-18.3808557887	-28.3960712347
-46.1005025126	-28.1064875923	-18.2132881445	-28.1064875923
-45.8090452261	-27.8169039498	-18.0457205003	-27.8169039498
-45.5175879397	-27.5273203073	-17.8781528562	-27.5273203073
-45.2261306533	-27.2377366649	-17.710585212	-27.2377366649
-44.9346733668	-26.9481530224	-17.5430175678	-26.9481530224
-44.6432160804	-26.65856938	-17.3754499236	-26.65856938
-44.351758794	-26.3689857375	-17.2078822795	-26.3689857375
-44.0603015075	-26.079402095	-17.0403146353	-26.079402095
-43.7688442211	-25.7898184526	-16.8727469911	-25.7898184526
-43.4773869347	-25.5002348101	-16.705179347	-25.5002348101
-43.1859296482	-25.2106511677	-16.5376117028	-25.2106511677
-42.8944723618	-24.9210675252	-16.3700440586	-24.9210675252
-42.6030150754	-24.6314838827	-16.2024764144	-24.6314838827
-42.3115577889	-24.3419002403	-16.0349087703	-24.3419002403
-42.0201005025	-24.0523165978	-15.8673411261	-24.0523165978
-41.7286432161	-23.7627329554	-15.6997734819	-23.7627329554
-41.4371859296	-23.4731493129	-15.5322058378	-23.4731493129
-41.1457286432	-23.1835656705	-15.3646381936	-23.1835656705
-40.8542713568	-22.893982028	-15.1970705494	-22.893982028
-40.5628140704	-22.6043983855	-15.0295029052	-22.6043983855
-40.2713567839	-22.3148147431	-14.8619352611	-22.3148147431
-39.9798994975	-22.0252311006	-14.6943676169	-22.0252311006
-39.6884422111	-21.7356474582	-14.5267999727	-21.7356474582
-39.3969849246	-21.4460638157	-14.3592323286	-21.4460638157
-39.1055276382	-21.1564801732	-14.1916646844	-21.1564801732
-38.8140703518	-20.8668965308	-14.0240970402	-20.8668965308
-38.5226130653	-20.5773128883	-13.856529396	-20.5773128883
-38.2311557789	-20.2877292459	-13.6889617519	-20.2877292459
-37.9396984925	-19.9981456034	-13.5213941077	-19.9981456034
-37.648241206	-19.7085619609	-13.3538264635	-19.7085619609
-37.3567839196	-19.4189783185	-13.1862588194	-19.4189783185
-37.0653266332	-19.129394676	-13.0186911752	-19.129394676
-36.7738693467	-18.8398110336	-12.851123531	-18.8398110336
-36.4824120603	-18.5502273911	-12.6835558868	-18.5502273911
-36.1909547739	-18.2606437486	-12.5159882427	-18.2606437486
-35.8994974874	-17.9710601062	-12.3484205985	-17.9710601062
-35.608040201	-17.6814764637	-12.1808529543	-17.6814764637
-35.3165829146	-17.3918928213	-12.0132853102	-17.3918928213
-35.0251256281	-17.1023091788	-11.845717666	-17.1023091788
-34.7336683417	-16.8127255364	-11.6781500218	-16.8127255364
-34.4422110553	-16.5231418939	-11.5105823776	-16.5231418939
-34.1507537688	-16.2335582514	-11.3430147335	-16.2335582514
-33.8592964824	-15.943974609	-11.1754470893	-15.943974609
-33.567839196	-15.6543909665	-11.0078794451	-15.6543909665
-33.2763819095	-15.3648073241	-10.840311801	-15.3648073241
-32.9849246231	-15.0752236816	-10.6727441568	-15.0752236816
-32.6934673367	-14.7856400391	-10.5051765126	-14.7856400391
-32.4020100503	-14.4960563967	-10.3376088684	-14.4960563967
-32.1105527638	-14.2064727542	-10.1700412243	-14.2064727542
-31.8190954774	-13.9168891118	-10.0024735801	-13.9168891118
-31.527638191	-13.6273054693	-9.83490593593	-13.6273054693
-31.2361809045	-13.3377218268	-9.66733829175	-13.3377218268
-30.9447236181	-13.0481381844	-9.49977064758	-13.0481381844
-30.6532663317	-12.7585545419	-9.33220300341	-12.7585545419
-30.3618090452	-12.4689708995	-9.16463535924	-12.4689708995
-30.0703517588	-12.179387257	-8.99706771507	-12.179387257
-29.7788944724	-11.8898036146	-8.8295000709	-11.8898036146
-29.4874371859	-11.6002199721	-8.66193242673	-11.6002199721
-29.1959798995	-11.3106363296	-8.49436478255	-11.3106363296
-28.9045226131	-11.0210526872	-8.32679713838	-11.0210526872
-28.6130653266	-10.7314690447	-8.15922949421	-10.7314690447
-28.3216080402	-10.4418854023	-7.99166185004	-10.4418854023
-28.0301507538	-10.1523017598	-7.82409420587	-10.1523017598
-27.7386934673	-9.86271811734	-7.6565265617	-9.86271811734
-27.4472361809	-9.57313447488	-7.48895891752	-9.57313447488
-27.1557788945	-9.28355083242	-7.32139127335	-9.28355083242
-26.864321608	-8.99396718996	-7.15382362918	-8.99396718996
-26.5728643216	-8.7043835475	-6.98625598501	-8.7043835475
-26.2814070352	-8.41479990504	-6.81868834084	-8.41479990504
-25.9899497487	-8.12521626258	-6.65112069667	-8.12521626258
-25.6984924623	-7.83563262012	-6.48355305249	-7.83563262012
-25.4070351759	-7.54604897767	-6.31598540832	-7.54604897767
-25.1155778894	-7.25646533521	-6.14841776415	-7.25646533521
-24.824120603	-6.96688169275	-5.98085011998	-6.96688169275
-24.5326633166	-6.67729805029	-5.81328247581	-6.67729805029
-24.2412060302	-6.38771440783	-5.64571483164	-6.38771440783
-23.9497487437	-6.09813076537	-5.47814718747	-6.09813076537
-23.6582914573	-5.80854712291	-5.31057954329	-5.80854712291
-23.3668341709	-5.51896348045	-5.14301189912	-5.51896348045
-23.0753768844	-5.22937983799	-4.97544425495	-5.22937983799
-22.783919598	-4.93979619553	-4.80787661078	-4.93979619553
-22.4924623116	-4.65021255308	-4.64030896661	-4.65021255308
-22.2010050251	-4.36062891062	-4.47274132244	-4.47274132244
-21.9095477387	-4.07104526816	-4.30517367826	-4.30517367826
-21.6180904523	-3.7814616257	-4.13760603409	-4.13760603409
-21.3266331658	-3.49187798324	-3.97003838992	-3.97003838992
-21.0351758794	-3.20229434078	-3.80247074575	-3.80247074575
-20.743718593	-2.91271069832	-3.63490310158	-3.63490310158
-20.4522613065	-2.62312705586	-3.46733545741	-3.46733545741
-20.1608040201	-2.3335434134	-3.29976781323	-3.29976781323
-19.8693467337	-2.04395977094	-3.13220016906	-3.13220016906
-19.5778894472	-1.75437612849	-2.96463252489	-2.96463252489
-19.2864321608	-1.46479248603	-2.79706488072	-2.79706488072
-18.9949748744	-1.17520884357	-2.62949723655	-2.62949723655
-18.7035175879	-0.885625201108	-2.46192959238	-2.46192959238
-18.4120603015	-0.596041558649	-2.29436194821	-2.29436194821
-18.1206030151	-0.30645791619	-2.12679430403	-2.12679430403
-17.8291457286	-0.0168742737312	-1.95922665986	-1.95922665986
-17.5376884422	0.272709368728	-1.79165901569	-1.79165901569
-17.2462311558	0.562293011187	-1.62409137152	-1.62409137152
-16.9547738693	0.851876653646	-1.45652372735	-1.45652372735
-16.6633165829	1.1414602961	-1.28895608318	-1.28895608318
-16.3718592965	1.43104393856	-1.121388439	-1.121388439
-16.0804020101	1.72062758102	-0.953820794833	-0.953820794833
-15.7889447236	2.01021122348	-0.786253150661	-0.786253150661
-15.4974874372	2.29979486594	-0.61868550649	-0.61868550649
-15.2060301508	2.5893785084	-0.451117862318	-0.451117862318
-14.9145728643	2.87896215086	-0.283550218147	-0.283550218147
-14.6231155779	3.16854579332	-0.115982573975	-0.115982573975
-14.3316582915	3.45812943578	0.0515850701965	0.0515850701965
-14.040201005	3.74771307824	0.219152714368	0.219152714368
-13.7487437186	4.0372967207	0.38672035854	0.38672035854
-13.4572864322	4.32688036315	0.554288002711	0.554288002711
-13.1658291457	4.61646400561	0.721855646883	0.721855646883
-12.8743718593	4.90604764807	0.889423291054	0.889423291054
-12.5829145729	5.19563129053	1.05699093523	1.05699093523
-12.2914572864	5.48521493299	1.2245585794	1.2245585794
-12	5.77479857545	1.39212622357	1.39212622357
