bin	input	raw_output	compensated_output	truth_compensated
66	0.4953241063611047	0.5897041858124213	0.744893440537837	0.7493664712407119
67	0.4934959827499871	0.5775650430379773	0.7450756403253391	0.7485949387987318
68	0.4931903572658257	0.5667389501385779	0.7432537946801907	0.7475637929709231
69	0.4908107067958431	0.5536485702454919	0.7428997326597316	0.7462709467397933
70	0.48892550276994007	0.5408314738502402	0.7405454102363086	0.7447137926052844
71	0.4878211205506945	0.5285041778646453	0.7396400276872976	0.7428892036595272
72	0.48444612308025814	0.5138160462540052	0.7367886422443188	0.7407935351050269
73	0.48274060759186727	0.5003934282312823	0.7352894423157496	0.7384226263428271
74	0.4788126526001428	0.4846731228354654	0.7319142051019081	0.7357718037798044
75	0.4764739748329645	0.4701152844372607	0.7298181366573849	0.7328358845273741
76	0.4720265593930148	0.4534255941137201	0.7259604486699367	0.7296091811875545
77	0.4690843125112614	0.43772210062608324	0.7221322787204314	0.7260855079464759
78	0.46409799164774856	0.42000906290873113	0.7195709462923664	0.7222581882198795
79	0.4597354788496666	0.4025711988852225	0.7143312850437883	0.718120064119794
80	0.45585193524777085	0.3850839188851401	0.7110745005387723	0.7136635080361068
81	0.45002972431419486	0.3658748825558765	0.7052335430175435	0.7088804366508635
82	0.4457562244965777	0.3475105440886031	0.7012550588798373	0.7037623277263931
83	0.43934670360970596	0.32732180462775606	0.6948029950173447	0.698300240030243
84	0.4345110854742364	0.30794665081182476	0.6900772422890448	0.6924848367798123
85	0.42762407739224684	0.28689681446915716	0.6829906783938077	0.6863064130067017
86	0.4222098796192665	0.2665299026762422	0.6764511725863721	0.6797549272543534
87	0.414857059909536	0.24473518043227446	0.6704332260149425	0.6728200380314536
88	0.4081707665444711	0.22317927869667586	0.6622965900247981	0.6654911454467818
89	0.40181951668530175	0.20134059439521787	0.6554967415193952	0.657757438447415
90	0.3937859978241624	0.17863706322811915	0.6465501136861228	0.6496079480700976
91	0.387146242223583	0.1563432697344298	0.638866999742557	0.6410316070937478
92	0.37858875903919614	0.13309114034126493	0.6291355760035103	0.6320173164479366
93	0.3714508881685417	0.11023326049430726	0.6204801971725711	0.6225540186862564
94	0.3624817041662476	0.0866348516537412	0.6099186028128413	0.6126307787732432
95	0.3548515705520935	0.06337576760761927	0.6002863912398579	0.6022368723574902
96	0.34551974984581696	0.039635693190491886	0.5888878114791392	0.5913618816105266
97	0.33741135446900783	0.016090137222315518	0.5771879126476152	0.5799957985998594
98	0.3277115203101483	-0.0076759854645755046	0.5665601039563216	0.5681291360345806
99	0.3184608117024083	-0.03130359723927825	0.5531852712116083	0.5557530450728765
100	0.3097750839509059	-0.054969148951876205	0.5414186278641785	0.5428594397129005
101	0.29947281193152825	-0.0784256403075848	0.5270857878888394	0.5294411271028155
102	0.290379084131108	-0.10192095851182	0.5141487346486502	0.5154919429041039
103	0.27978438954004636	-0.12495563084841879	0.4989074464420831	0.5010068906272305
104	0.2703053962976414	-0.14812563073517637	0.48478096244200236	0.4859822836340844
105	0.2594362988644075	-0.17063718817844728	0.46858763528561675	0.4704158882721336
106	0.2495641956765872	-0.19337433189653433	0.4525811833732285	0.45430706637671736
107	0.23845527080118442	-0.21517779603870263	0.4366133482025139	0.43765691515736876
108	0.22782194272058695	-0.23686668402061928	0.4188506797733074	0.42046840227935783
109	0.21730880233421057	-0.2588136001656932	0.40193370949577667	0.4027464937715707
110	0.20588530476764055	-0.27931013424544787	0.38312530213311036	0.38449827224567995
111	0.19525116023612835	-0.30043265187448837	0.3651301194260397	0.3657330428089443
112	0.1835734046258751	-0.31997602655864377	0.3453640234223661	0.34646242400337757
113	0.17265917049246096	-0.34025537162014585	0.32628229500586303	0.32670042111633496
114	0.16081543026722456	-0.3587979977477557	0.3056596886876273	0.3064634792895975
115	0.14964887402404908	-0.37812987879198867	0.2852280362324999	0.2857705140119221
116	0.1376947874590358	-0.3955934375822007	0.264407606262628	0.2646429168177409
117	0.12628664297895154	-0.41397192402893246	0.24272358092567564	0.24310453433346102
118	0.1142142291682751	-0.43037070222230267	0.2212457001869367	0.221181619210799
119	0.10236136360187087	-0.4468425677680782	0.19886023262110478	0.1989027519583796
120	0.09069620296838529	-0.4638417251029973	0.17662761375986205	0.17629873321956477
121	0.07850237901959765	-0.47839516346121264	0.15369467943226214	0.15340244663359537
122	0.06667647012875658	-0.4943564880132508	0.1308662348966442	0.13024869304282083
123	0.054466939814782345	-0.507778679853841	0.1075665643895584	0.10687399745240221
124	0.04252260059545056	-0.5227011061020858	0.08426469573150969	0.0833163907895399
125	0.030294457023109303	-0.535080961721997	0.060687550453657674	0.05961516912494413
126	0.01823471058247586	-0.5489658234976845	0.037116663760642	0.03581063358755844
127	0.006060498547223255	-0.5602598547806402	0.013372212759809593	0.01194381470297034
128	-0.0060465199998708166	-0.5720919540214526	-0.010208586622245783	-0.011943814702969891
129	-0.018219245903817433	-0.5844905172500162	-0.03405128948294747	-0.03581063358755799
130	-0.030316345169442604	-0.5941989806197203	-0.05739237980117562	-0.059615169124943704
131	-0.04248964508357669	-0.6058149284108691	-0.0811576545005986	-0.08331639078953945
132	-0.054459001814841305	-0.6144607027445382	-0.1041506041336054	-0.10687399745240178
133	-0.0666387378358804	-0.6251748049458545	-0.12771720930507185	-0.13024869304282044
134	-0.07849132016588654	-0.6329131068930994	-0.15019539525642675	-0.15340244663359495
135	-0.09062141079310193	-0.6427257356047044	-0.17285875898340777	-0.1762987332195643
136	-0.10230950116105884	-0.64960749410723	-0.19562476779395022	-0.19890275195837914
137	-0.11416861489885825	-0.6573864514346592	-0.21735287729279826	-0.22118161921079854
138	-0.12613768492806077	-0.6658670518829174	-0.23940942998016868	-0.2431045343334606
139	-0.1375517757863955	-0.6714648320533565	-0.2603480417690828	-0.26464291681774044
140	-0.1495269701087878	-0.6794943027623538	-0.2816685309664756	-0.2857705140119217
141	-0.16066425945117174	-0.6841994219716845	-0.30173964397530123	-0.3064634792895971
142	-0.17249678091444168	-0.6914795181679438	-0.3222089158346257	-0.3267004211163345
143	-0.1833724438806082	-0.6954692296381862	-0.3412970116126336	-0.3464624240033771
144	-0.19502621521684427	-0.7020442571446462	-0.3608854835594877	-0.36573304280894386
145	-0.20564576670246495	-0.7053977648744255	-0.37901528783457994	-0.38449827224567945
146	-0.21710415746028008	-0.7112817320400923	-0.396654636312054	-0.4027464937715702
147	-0.22741251957775943	-0.7139992768854614	-0.4153787325317039	-0.42046840227935744
148	-0.23804525736056886	-0.7177349137972882	-0.43129991847261046	-0.4376569151573683
149	-0.24926040078174674	-0.7228862785510138	-0.4489059682992258	-0.454307066376717
150	-0.2589920003684571	-0.7244974927322969	-0.4637793240733435	-0.4704158882721332
151	-0.26991040101647906	-0.7290403201071297	-0.48026092294618344	-0.48598228363408397
152	-0.2792849964847132	-0.7301197854414508	-0.4941657515214663	-0.5010068906272301
153	-0.29102023418085404	-0.7367791236475624	-0.5095123636785035	-0.5154919429041036
154	-0.3017754623127784	-0.7414095235126037	-0.522437328649586	-0.529441127102815
155	-0.31158706812766357	-0.743478649475519	-0.535478083416359	-0.5428594397129001
156	-0.32084254618188396	-0.7448486300948787	-0.5495131402755008	-0.5557530450728762
157	-0.3302940435942007	-0.7463897112504316	-0.5604865783259655	-0.5681291360345803
158	-0.33915210561258186	-0.747230394821031	-0.5736675699687311	-0.579995798599859
159	-0.3479762230924105	-0.7480045590554494	-0.583523943406009	-0.5913618816105263
160	-0.3568677672227475	-0.7488073890038445	-0.5957464064683194	-0.60223687235749
161	-0.36504211165612926	-0.748827982657403	-0.6046387092986132	-0.6126307787732429
162	-0.373504755452371	-0.7491180927445822	-0.6158925209406314	-0.6225540186862559
163	-0.3812153258299115	-0.7486210377821876	-0.6239269687410243	-0.6320173164479362
164	-0.38922519583559406	-0.7484018570449467	-0.6329158121180773	-0.6410316070937477
165	-0.39647324213567803	-0.7473906261468606	-0.6424651015337172	-0.6496079480700975
166	-0.40402132541024	-0.7466517718434524	-0.6493813473599219	-0.6577574384474147
167	-0.4107688580589492	-0.7451172413332984	-0.6583248732778301	-0.6654911454467815
168	-0.4175199931200094	-0.7435665769979658	-0.6643388752411359	-0.6728200380314532
169	-0.4243952529610439	-0.7420757853993897	-0.6724329057139574	-0.679754927254353
170	-0.43033324634060105	-0.7396899846739581	-0.6776855858608873	-0.6863064130067015
171	-0.4366815434063511	-0.7376645672421899	-0.6849921683060539	-0.6924848367798123
172	-0.4420895812704749	-0.7347280872441407	-0.689561790457199	-0.6983002400302433
173	-0.44791997154691776	-0.7321408341425877	-0.6961046038636277	-0.7037623277263929
174	-0.45279861524643894	-0.728624411855968	-0.7000468449108721	-0.7088804366508634
175	-0.4580750364570946	-0.725446935939559	-0.7041780409572787	-0.7136635080361066
