level_dbfs	freq_hz	thd_pct	in_column
-37.7142857143	878.782303359	0.0123446714777	0
-37.7142857143	1151.40424049	0.0137313012684	0
-37.7142857143	1508.60084454	0.0147077637257	0
-37.7142857143	1976.6094549	0.0196248202182	0
-37.7142857143	2589.80694019	0.0208634035829	0
-37.7142857143	3393.23479955	0.0255560692263	0
-37.7142857143	4445.90761813	0.0222437737115	0
-37.7142857143	5825.14789473	0.0258912096213	0
-37.7142857143	7632.26564968	0.00871979850467	0
-37.7142857143	10000	0.050557606237	0
-32.5714285714	20	4.10157863052	0
-32.5714285714	26.2045386232	0.0361241862837	0
-32.5714285714	34.3338922229	0.0181549506513	0
-32.5714285714	44.985190242	0.0184405353242	0
-32.5714285714	58.9408077585	0.0186775668911	0
-32.5714285714	77.2258336697	0.0183025485666	0
-32.5714285714	101.183367055	0.0178777782953	0
-32.5714285714	132.573172502	0.0192497815919	0
-32.5714285714	173.700940961	0.0187566998522	0
-32.5714285714	227.587650816	0.0188211710217	1
-32.5714285714	298.191469299	0.0194315950481	0
-32.5714285714	390.698493718	0.0189792040044	0
-32.5714285714	511.903688434	0.0184544501791	0
-32.5714285714	670.709998748	0.0181757279894	0
-32.5714285714	878.782303359	0.0224843712019	0
-32.5714285714	1151.40424049	0.0197917518455	0
-32.5714285714	1508.60084454	0.0218592204572	0
-32.5714285714	1976.6094549	0.0243189312048	0
-32.5714285714	2589.80694019	0.0180524290693	0
-32.5714285714	3393.23479955	0.0186295873834	0
-32.5714285714	4445.90761813	0.0231187733778	0
-32.5714285714	5825.14789473	0.0190287865125	0
-32.5714285714	7632.26564968	0.00254686081248	0
-32.5714285714	10000	0.0123837279847	0
-27.4285714286	20	4.10561587934	0
-27.4285714286	26.2045386232	0.0671943177181	0
-27.4285714286	34.3338922229	0.0598450422994	0
-27.4285714286	44.985190242	0.060492290257	0
-27.4285714286	58.9408077585	0.0605055481406	0
-27.4285714286	77.2258336697	0.0599297682599	0
-27.4285714286	101.183367055	0.0604853680806	0
-27.4285714286	132.573172502	0.0601792364903	0
-27.4285714286	173.700940961	0.0605875817418	0
-27.4285714286	227.587650816	0.0604118112073	1
-27.4285714286	298.191469299	0.0597918923402	0
-27.4285714286	390.698493718	0.0593023891205	0
-27.4285714286	511.903688434	0.0600567107022	0
-27.4285714286	670.709998748	0.061220675595	0
-27.4285714286	878.782303359	0.0617788872401	0
-27.4285714286	1151.40424049	0.0600852896552	0
-27.4285714286	1508.60084454	0.0599442655344	0
-27.4285714286	1976.6094549	0.0614981754891	0
-27.4285714286	2589.80694019	0.0591384370572	0
-27.4285714286	3393.23479955	0.0590940215456	0
-27.4285714286	4445.90761813	0.0602605285375	0
-27.4285714286	5825.14789473	0.0557016703158	0
-27.4285714286	7632.26564968	0.00230591775882	0
-27.4285714286	10000	0.0155796295885	0
-22.2857142857	20	4.11853469397	0
-22.2857142857	26.2045386232	0.196094059308	0
-22.2857142857	34.3338922229	0.195716201056	0
-22.2857142857	44.985190242	0.195794654387	0
-22.2857142857	58.9408077585	0.195720184664	0
-22.2857142857	77.2258336697	0.195762040165	0
-22.2857142857	101.183367055	0.19575897106	0
-22.2857142857	132.573172502	0.195672133447	0
-22.2857142857	173.700940961	0.195611047984	0
-22.2857142857	227.587650816	0.196046393061	1
-22.2857142857	298.191469299	0.195525373226	0
-22.2857142857	390.698493718	0.195915181268	0
-22.2857142857	511.903688434	0.195588694103	0
-22.2857142857	670.709998748	0.196134143678	0
-22.2857142857	878.782303359	0.196443364285	0
-22.2857142857	1151.40424049	0.195944393498	0
-22.2857142857	1508.60084454	0.195489879389	0
-22.2857142857	1976.6094549	0.196994865281	0
-22.2857142857	2589.80694019	0.195728136179	0
