t_s	carried	independent
-0.0775	-0.0682008999941	-0.0682008999941
-0.0773333333333	-0.0681528233396	-0.0681528233396
-0.0771666666667	-0.0680740366417	-0.0680740366417
-0.077	-0.0680263841522	-0.0680263841522
-0.0768333333333	-0.0679991203864	-0.0679991203864
-0.0766666666667	-0.067929422159	-0.067929422159
-0.0765	-0.0678826848206	-0.0678826848206
-0.0763333333333	-0.0678212002244	-0.0678212002244
-0.0761666666667	-0.0677780876144	-0.0677780876144
-0.076	-0.0677170489796	-0.0677170489796
-0.0758333333333	-0.0676624935591	-0.0676624935591
-0.0756666666667	-0.0675993121991	-0.0675993121991
-0.0755	-0.0675547385582	-0.0675547385582
-0.0753333333333	-0.067516903521	-0.067516903521
-0.0751666666667	-0.0674665028602	-0.0674665028602
-0.075	-0.0674240834534	-0.0674240834534
-0.0748333333333	-0.0673467387986	-0.0673467387986
-0.0746666666667	-0.0672862064322	-0.0672862064322
-0.0745	-0.0672486323911	-0.0672486323911
-0.0743333333333	-0.0671858828388	-0.0671858828388
-0.0741666666667	-0.0671327222043	-0.0671327222043
-0.074	-0.067092534511	-0.067092534511
-0.0738333333333	-0.0670262825011	-0.0670262825011
-0.0736666666667	-0.0669702910155	-0.0669702910155
-0.0735	-0.0669141258295	-0.0669141258295
-0.0733333333333	-0.0668577226864	-0.0668577226864
-0.0731666666667	-0.0668127773447	-0.0668127773447
-0.073	-0.0667622907367	-0.0667622907367
-0.0728333333333	-0.0667003327096	-0.0667003327096
-0.0726666666667	-0.0666594169469	-0.0666594169469
-0.0725	-0.0666088184284	-0.0666088184284
-0.0723333333333	-0.0665530277685	-0.0665530277685
-0.0721666666667	-0.0664975075876	-0.0664975075876
-0.072	-0.0664372246821	-0.0664372246821
-0.0718333333333	-0.0663834584142	-0.0663834584142
-0.0716666666667	-0.0663457622099	-0.0663457622099
-0.0715	-0.066285587193	-0.066285587193
-0.0713333333333	-0.0662379219185	-0.0662379219185
-0.0711666666667	-0.0661733531062	-0.0661733531062
-0.071	-0.0661172958766	-0.0661172958766
-0.0708333333333	-0.0660767350391	-0.0660767350391
-0.0706666666667	-0.0660278325138	-0.0660278325138
-0.0705	-0.0659700293446	-0.0659700293446
-0.0703333333333	-0.0659101028568	-0.0659101028568
-0.0701666666667	-0.0658612799963	-0.0658612799963
-0.07	-0.0658136401808	-0.0658136401808
-0.0698333333333	-0.0657668135403	-0.0657668135403
-0.0696666666667	-0.0657270492915	-0.0657270492915
-0.0695	-0.0656440298623	-0.0656440298623
-0.0693333333333	-0.065595750205	-0.065595750205
-0.0691666666667	-0.0655592560679	-0.0655592560679
-0.069	-0.0655070434542	-0.0655070434542
